"gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","defensiveTeam","yardlineSide","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","passResult","penaltyYards","prePenaltyPlayResult","playResult","foulName1","foulNFLId1","foulName2","foulNFLId2","foulName3","foulNFLId3","absoluteYardlineNumber","offenseFormation","personnelO","defendersInBox","personnelD","dropBackType","pff_playAction","pff_passCoverage","pff_passCoverageType"
2021090900,97,"(13:33) (Shotgun) T.Brady pass incomplete deep right to C.Godwin.",1,3,2,"TB","DAL","TB",33,"13:33",0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,43,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man"
2021090900,137,"(13:18) (Shotgun) D.Prescott pass deep left to A.Cooper pushed ob at DAL 30 for 28 yards (A.Winfield).",1,1,10,"DAL","TB","DAL",2,"13:18",0,0,"C",NA,28,28,NA,NA,NA,NA,NA,NA,108,"EMPTY","1 RB, 2 TE, 2 WR",6,"4 DL, 4 LB, 3 DB","TRADITIONAL",0,"Cover-3","Zone"
2021090900,187,"(12:23) (Shotgun) D.Prescott pass short middle to D.Schultz to DAL 39 for 5 yards (D.White).",1,2,6,"DAL","TB","DAL",34,"12:23",0,0,"C",NA,5,5,NA,NA,NA,NA,NA,NA,76,"SHOTGUN","0 RB, 2 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone"
2021090900,282,"(9:56) D.Prescott pass incomplete deep left to C.Lamb.",1,1,10,"DAL","TB","TB",39,"09:56",0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,49,"SINGLEBACK","1 RB, 2 TE, 2 WR",6,"4 DL, 3 LB, 4 DB","TRADITIONAL",1,"Cover-3","Zone"
2021090900,349,"(9:46) (Shotgun) D.Prescott pass incomplete short left to C.Lamb [L.David].",1,3,15,"DAL","TB","TB",44,"09:46",0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,54,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"3 DL, 4 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone"
2021090900,410,"(8:53) (Shotgun) T.Brady pass short middle to M.Evans to TB 21 for 10 yards (T.Diggs).",1,2,5,"TB","DAL","TB",11,"08:53",0,0,"C",NA,10,10,NA,NA,NA,NA,NA,NA,21,"EMPTY","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man"
2021090900,434,"(8:24) (No Huddle, Shotgun) T.Brady pass incomplete short left to M.Evans.",1,1,10,"TB","DAL","TB",21,"08:24",0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,31,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone"
2021090900,456,"(8:20) (Shotgun) T.Brady pass deep middle to R.Gronkowski to TB 40 for 19 yards (D.Kazee).",1,2,10,"TB","DAL","TB",21,"08:20",0,0,"C",NA,19,19,NA,NA,NA,NA,NA,NA,31,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-6","Zone"
2021090900,480,"(7:53) (No Huddle, Shotgun) T.Brady pass deep right to A.Brown ran ob at DAL 32 for 28 yards (A.Brown).",1,1,10,"TB","DAL","TB",40,"07:53",0,0,"C",NA,28,28,NA,NA,NA,NA,NA,NA,50,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone"
2021090900,509,"(7:30) (No Huddle, Shotgun) T.Brady pass short right to A.Brown pushed ob at DAL 16 for 16 yards (A.Brown; K.Neal).",1,1,10,"TB","DAL","DAL",32,"07:30",0,0,"C",NA,16,16,NA,NA,NA,NA,NA,NA,78,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone"
2021090900,559,"(6:13) (Shotgun) T.Brady pass short right to C.Godwin to DAL 5 for 8 yards (A.Brown).",1,2,7,"TB","DAL","DAL",13,"06:13",0,0,"C",NA,8,8,NA,NA,NA,NA,NA,NA,97,"SHOTGUN","1 RB, 2 TE, 2 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone"
2021090900,583,"(5:26) (Shotgun) T.Brady pass short middle to C.Godwin for 5 yards, TOUCHDOWN.",1,1,5,"TB","DAL","DAL",5,"05:26",0,0,"C",NA,5,5,NA,NA,NA,NA,NA,NA,105,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",1,"Cover-1","Man"
2021090900,687,"(4:15) (Shotgun) D.Prescott pass short right to M.Gallup to TB 44 for 12 yards (A.Winfield).",1,2,2,"DAL","TB","DAL",44,"04:15",7,0,"C",NA,12,12,NA,NA,NA,NA,NA,NA,66,"SHOTGUN","1 RB, 2 TE, 2 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-1","Man"
2021090900,735,"(2:45) (Shotgun) D.Prescott pass short right to M.Gallup ran ob at TB 29 for 8 yards.",1,2,3,"DAL","TB","TB",37,"02:45",7,0,"C",NA,8,8,NA,NA,NA,NA,NA,NA,47,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","SCRAMBLE_ROLLOUT_RIGHT",1,"Cover-2","Zone"
2021090900,764,"(2:22) (No Huddle) D.Prescott pass short right to B.Jarwin to TB 22 for 7 yards (C.Davis).",1,1,10,"DAL","TB","TB",29,"02:22",7,0,"C",NA,7,7,NA,NA,NA,NA,NA,NA,39,"SINGLEBACK","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","DESIGNED_ROLLOUT_RIGHT",1,"Quarters","Zone"
